id,AIFM1,BCLAF1,BDP1,CENPH (64946),CENPI (2491),CTPS1 (1503),FAM50A (9130),FDPS (2224),GAGE2A (729447),GEMIN8 (54960),GJA3 (2700),KDM2A (22992),KIF4A (24137),KLC2 (64837),LAS1L (81887),MBTPS2 (51360),MED12 (9968),MED14 (9282),POLA1 (5422),PSMC1 (5700),RBMX2 (51634),RPL39 (6170),SGF29 (112869),SIN3A (25942),SNAP23 (8773),STIL (6491),TEX10 (54881),TGS1 (96764)
ACH-000004,NA,-0.432031284,-0.744436376,-0.651763225,NA,-1.124540983,NA,-0.898191573,NA,NA,-0.759363338,-0.577417665,NA,-0.854949958,NA,NA,NA,NA,NA,-1.056314274,NA,NA,-0.790395552,-0.930456757,-1.07153982,-0.614115951,-1.033167525,-0.62294836
ACH-000005,-0.500701181,-0.346777773,-1.117095116,-0.464341461,-0.786775993,-0.951802416,-1.638342669,-0.798742664,-0.911150227,-0.801962809,-0.497919053,-0.462832048,-0.899661046,-1.190191476,-1.550329763,-1.459345303,-0.92681227,-1.716266566,-1.456760267,-1.001043147,-0.80963518,-0.68838621,-0.621636264,-0.520955342,-1.260310138,-0.983698429,-0.700394229,-0.639974925
ACH-000007,-0.784365805,-1.18456401,-0.677450861,-0.818930319,-1.073412613,-1.072300752,-0.502119586,-0.688462143,-0.79776615,-1.009375412,-0.974621186,-0.934835808,-0.700961303,-0.876208989,-1.157024518,-1.1506141,-1.075290722,-0.919226291,-1.260868029,-0.713472235,-0.617235639,-0.947459163,-1.054334144,-1.077840612,-1.115516793,-0.674908442,-0.687906862,-1.100817123
ACH-000009,-1.023372217,-0.951581707,-0.884118412,-0.813779782,-0.922450749,-0.726636772,-1.327584632,-1.404296202,-0.714561007,-0.849272707,-0.631086562,-0.678461428,-1.145724938,-0.629592814,-1.038602014,-1.242142038,-0.662563176,-0.865920429,-0.929774477,-0.878268432,-0.999584448,-0.710781945,-0.706760596,-1.32567699,-1.026169478,-0.953768051,-1.006799328,-1.134996502
ACH-000011,-0.928391658,-0.830877939,-0.876265431,-0.72967852,-0.553485669,-1.254944598,-0.501123714,-0.881231835,-0.851476047,-0.754342243,-0.826076923,-1.156798454,-0.993534739,-0.516469129,-0.702564174,-0.608942515,-0.663480705,-0.940885075,-0.518691681,-0.719085901,-0.805145891,-0.705394518,-0.776745926,-1.151146365,-1.164879738,-0.944487649,-0.849166397,-0.90502517
ACH-000012,-0.759692219,-0.827423839,-0.73788949,-0.850158213,-0.659530974,-1.087628679,-1.028305437,-0.644549584,-0.726116446,-0.907921432,-0.930321905,-0.237400125,-0.581531703,-0.926607132,-0.898165768,-1.013012632,-0.89208235,-0.771599121,-1.141713494,-0.921470016,-0.79570952,-0.605408605,-0.661959359,-1.030001738,-1.191108199,-0.977762108,-0.752637067,-0.797663995
ACH-000013,-0.784035927,-0.812837047,-0.720139523,-0.709563106,-0.852253864,-0.331616592,-1.056671979,-0.727552147,-0.661614447,-1.304476591,-0.92325271,-1.36539004,-1.053519873,-0.794090982,-0.794945345,-0.835893665,-0.780431607,-1.030655155,-1.146460584,-0.563419467,-0.831634262,-0.527551612,-0.807663798,-0.632030261,-1.409650054,-1.120431228,-1.002435843,-0.724713387
ACH-000014,NA,-0.364905648,-0.805674025,-0.970226355,NA,-0.680516043,NA,-0.655253921,NA,NA,-0.971317327,-0.079924451,NA,-0.400198175,NA,NA,NA,NA,NA,-0.981767665,NA,NA,-1.058270458,-0.835839571,-0.290928485,-0.685501607,-0.987741248,-0.83394605
ACH-000015,-1.137256899,-0.787545375,-1.016736896,-0.937891014,-0.674762663,-0.767856056,-0.361461636,-1.00132341,-0.728136492,-0.697325145,-0.801728786,-0.986808946,-0.667530768,-0.715097571,-0.990951047,-1.055505324,-0.454243731,-0.944832585,-0.771810699,-0.787437352,-0.747147826,-0.711330902,-1.127359873,-0.796203566,-0.385261671,-0.869763314,-0.871223263,-0.7281342
ACH-000017,-0.34902598,-0.6953476,-1.143139472,-0.823432732,-0.72749641,-1.420260205,-0.224224084,-0.677010108,-0.706775582,-0.911281564,-0.967904359,-1.621293031,-0.589755924,-0.71819534,-0.578809929,-0.724552403,-1.174968865,-0.984371626,-0.964177139,-0.729603761,-0.817677183,-0.779907309,-1.621735062,-0.653361636,-1.122749122,-0.959904581,-0.631240714,-0.790747697
ACH-000018,-1.110100252,-0.897734825,-0.947143773,-0.779671871,-0.532371564,-0.689510738,-0.961466183,-0.927607964,-0.816818273,-0.725168759,-0.679849773,-0.624388394,-0.588789608,-0.7239806,-0.744035704,-1.220610232,-1.122450162,-0.676235543,-0.675752929,-0.934119244,-0.761592565,-0.66421499,-1.250889859,-0.671726617,-0.661643409,-0.892233802,-0.952528657,-0.822500567
ACH-000019,-0.835613451,-0.802155426,-0.559945511,-0.772054297,-0.645377245,-0.726457618,-0.325896705,-1.10567697,-0.582578037,-0.620199071,-0.738336475,-0.834238261,-1.00813641,-0.586599164,-0.525542497,-0.882905424,-0.645826146,-1.099504159,-1.161044946,-0.857866226,-0.96756051,-1.093419474,-0.778023659,-0.793497178,-0.55667624,-0.840220097,-0.856774227,-0.899003939
ACH-000021,-0.983684305,-1.110533169,-0.880752394,-0.785768385,-0.920114599,-0.868160253,-0.480862911,-1.062332864,-0.742344016,-0.899670733,-1.027499186,-0.563917426,-1.422757959,-0.941899531,-1.24347426,-0.999302817,-0.597343257,-1.206248359,-1.033740407,-0.799267084,-0.953230019,-1.119455919,-0.664878245,-0.466786852,-0.122679267,-0.968061672,-1.019221167,-0.918832481
ACH-000022,-1.054769009,-0.659446016,-0.539856453,-0.704387875,-0.766170367,-0.958335273,-1.193136544,-1.490132434,-0.752787747,-0.891736181,-0.769226064,-0.588173158,-0.657706144,-0.737310437,-1.222596032,-1.205209592,-1.258289047,-0.657332848,-1.110146919,-0.747853241,-0.98460893,-0.689125552,-1.028000882,-0.415622034,-1.627773074,-1.086723294,-0.771766301,-0.673481627
ACH-000025,NA,-0.610488551,-0.703795846,-0.690987003,NA,-1.100893344,NA,-1.050227015,NA,NA,-0.583843727,-1.045048872,NA,-0.802581944,NA,NA,NA,NA,NA,-0.760823589,NA,NA,-0.549228705,-0.980025122,-0.990359029,-0.523858016,-0.522417394,-0.619044511
ACH-000028,NA,-1.137192288,-0.366984496,-0.847771693,NA,-0.15953663,NA,-0.969646312,NA,NA,-0.872692424,-0.937424255,NA,-0.811768208,NA,NA,NA,NA,NA,-0.693377619,NA,NA,-0.57492749,-0.803243085,-0.543439622,-0.923385692,-0.931488983,-1.100541271
ACH-000029,-0.471561054,-0.603656392,-0.478396937,-0.787056885,-0.490174869,-1.329374264,-0.857233699,-0.575598178,-0.641109954,-0.729685474,-0.800695624,-0.982136107,-0.721440528,-0.701811356,-0.873292093,-0.721600929,-0.773245301,-0.712813118,-1.057099852,-0.726993061,-0.922000565,-0.433736342,-1.021928266,-0.873722872,-1.196696099,-0.786514227,-0.974861619,-0.803373875
ACH-000030,-1.030270016,-0.536440419,-0.950353581,-0.869590826,-0.790336974,-1.256323286,-0.377801457,-0.386136431,-0.831007233,-0.772343,-0.845287349,-1.100439081,-0.772433587,-0.785773287,-0.924200085,-1.153405626,-0.775765347,-1.129532422,-0.944894297,-0.963119542,-0.83921936,-0.614137409,-0.780856179,-0.978142907,-1.551360931,-0.865330155,-0.666058582,-0.876353454
ACH-000035,-1.357455752,-0.56284517,-0.815603334,-0.776961612,-0.867825124,-0.774365767,-0.083355975,-0.577914834,-0.773204361,-1.218922799,-0.948156708,-0.444655255,-0.556576478,-0.652951305,-0.958799818,-0.744979069,-0.476850338,-1.067204248,-1.007851582,-0.566446037,-0.940913755,-0.596403701,-0.688924354,-0.880234257,-0.630902539,-0.838866641,-1.12935614,-0.762525271
ACH-000036,-0.948459544,-0.84729662,-0.96144766,-0.708848382,-0.791928241,-0.557827214,-1.077331619,-0.713640725,-0.744255663,-0.984630144,-0.869994906,-0.44539177,-0.70396312,-0.785100422,-0.991090316,-0.87886752,-0.353443048,-0.862393643,-1.064416158,-1.006393345,-0.873144889,-0.893713197,-0.699804936,-0.717963878,-0.277013864,-0.625459231,-1.011367,-0.791751839
ACH-000037,-1.227269457,-0.662629184,-1.120343854,-0.911489618,-0.859309028,-0.459576926,-0.700345844,-0.760250579,-0.769636112,-1.035855971,-1.127309423,-0.517823394,-1.666587011,-1.164321214,-0.916704291,-1.123300508,-0.994091687,-1.066565454,-1.225959009,-1.201871611,-0.946610928,-1.290243749,-0.345186116,-1.464273707,-0.527420983,-0.439036958,-1.548794372,-1.380994452
ACH-000039,-0.596318401,-0.577220313,-0.673058178,-1.28128005,-0.737603633,-0.442960204,-0.098726522,-0.783722851,-0.885348031,-0.972050454,-0.556852978,-0.954820928,-1.019922081,-0.879258781,-0.855745946,-1.319215715,-0.444224432,-1.000938278,-1.150814077,-0.599750685,-0.905006339,-0.719573348,-0.626809787,-0.748990169,-0.328661139,-0.639018258,-0.799265528,-0.724807947
ACH-000040,-0.542128067,-0.634908117,-0.545789,-0.68806645,-0.809204937,-0.5896169,-1.503584358,-0.93001223,-0.874374757,-1.063521694,-0.736748484,-0.684337613,-0.844751479,-0.737767194,-1.061932756,-1.236470146,-1.028218,-0.987459092,-0.992374676,-0.675024291,-0.836950847,-0.997496417,-0.978980655,-0.937012532,-0.387649406,-0.279156712,-0.837289978,-0.712407434
ACH-000041,-1.348639227,-0.518079058,-0.790710325,-0.949563965,-0.584835322,-0.594081256,-0.498062101,-0.371634258,-0.799233268,-0.922946827,-0.770969209,-0.821454599,-0.366268975,-0.829307211,-0.903026575,-0.8347789,-0.896806157,-0.895470185,-0.862687954,-0.877480703,-0.782435461,-0.752017764,-1.349862225,-0.692579172,-0.033225181,-0.703262804,-0.841379824,-0.379470368
ACH-000042,-0.531178698,-0.631412216,-0.766988937,-0.900567679,-0.798302227,-1.588099001,-0.467914161,-0.352887203,-0.797176145,-0.774080389,-0.900082229,-0.854175187,-0.570351005,-0.994805544,-0.991490295,-0.888395027,-1.011055617,-1.17762409,-1.00317827,-0.715658665,-0.881347249,-0.838135026,-0.943362881,-0.769261824,-0.772702496,-1.116056026,-0.703236607,-0.716135348
